,league,country,seasons
0,"{'id': 191, 'name': 'Brisbane Premier League', 'type': 'League', 'logo': 'https://media.api-sports.io/football/leagues/191.png'}","{'name': 'Australia', 'code': 'AU', 'flag': 'https://media.api-sports.io/flags/au.svg'}","[{'year': 2011, 'start': '2011-03-04', 'end': '2011-09-29', 'current': False, 'coverage': {'fixtures': {'events': False, 'lineups': False, 'statistics_fixtures': False, 'statistics_players': False}, 'standings': True, 'players': False, 'top_scorers': False, 'predictions': True, 'odds': False}}, {'year': 2012, 'start': '2012-02-17', 'end': '2012-09-23', 'current': False, 'coverage': {'fixtures': {'events': False, 'lineups': False, 'statistics_fixtures': False, 'statistics_players': False}, 'standings': True, 'players': False, 'top_scorers': False, 'predictions': True, 'odds': False}}, {'year': 2013, 'start': '2013-03-08', 'end': '2013-09-21', 'current': False, 'coverage': {'fixtures': {'events': False, 'lineups': False, 'statistics_fixtures': False, 'statistics_players': False}, 'standings': True, 'players': False, 'top_scorers': False, 'predictions': True, 'odds': False}}, {'year': 2014, 'start': '2014-02-22', 'end': '2014-09-21', 'current': False, 'coverage': {'fixtures': {'events': False, 'lineups': False, 'statistics_fixtures': False, 'statistics_players': False}, 'standings': True, 'players': False, 'top_scorers': False, 'predictions': True, 'odds': False}}, {'year': 2015, 'start': '2015-02-28', 'end': '2015-09-20', 'current': False, 'coverage': {'fixtures': {'events': False, 'lineups': False, 'statistics_fixtures': False, 'statistics_players': False}, 'standings': True, 'players': False, 'top_scorers': False, 'predictions': True, 'odds': False}}, {'year': 2016, 'start': '2016-02-20', 'end': '2016-09-17', 'current': False, 'coverage': {'fixtures': {'events': False, 'lineups': False, 'statistics_fixtures': False, 'statistics_players': False}, 'standings': True, 'players': False, 'top_scorers': False, 'predictions': True, 'odds': False}}, {'year': 2017, 'start': '2017-02-18', 'end': '2017-09-16', 'current': False, 'coverage': {'fixtures': {'events': False, 'lineups': False, 'statistics_fixtures': False, 'statistics_players': False}, 'standings': True, 'players': False, 'top_scorers': False, 'predictions': True, 'odds': False}}, {'year': 2018, 'start': '2018-03-02', 'end': '2018-09-22', 'current': False, 'coverage': {'fixtures': {'events': False, 'lineups': False, 'statistics_fixtures': False, 'statistics_players': False}, 'standings': True, 'players': False, 'top_scorers': False, 'predictions': True, 'odds': False}}, {'year': 2019, 'start': '2019-02-23', 'end': '2019-09-21', 'current': False, 'coverage': {'fixtures': {'events': True, 'lineups': False, 'statistics_fixtures': False, 'statistics_players': False}, 'standings': True, 'players': False, 'top_scorers': False, 'predictions': True, 'odds': False}}, {'year': 2020, 'start': '2020-03-06', 'end': '2020-11-15', 'current': False, 'coverage': {'fixtures': {'events': True, 'lineups': False, 'statistics_fixtures': False, 'statistics_players': False}, 'standings': True, 'players': False, 'top_scorers': False, 'predictions': True, 'odds': False}}, {'year': 2021, 'start': '2021-03-05', 'end': '2021-08-29', 'current': True, 'coverage': {'fixtures': {'events': False, 'lineups': False, 'statistics_fixtures': False, 'statistics_players': False}, 'standings': False, 'players': False, 'top_scorers': False, 'predictions': True, 'odds': False}}]"
1,"{'id': 188, 'name': 'A-League', 'type': 'League', 'logo': 'https://media.api-sports.io/football/leagues/188.png'}","{'name': 'Australia', 'code': 'AU', 'flag': 'https://media.api-sports.io/flags/au.svg'}","[{'year': 2011, 'start': '2011-10-08', 'end': '2012-04-22', 'current': False, 'coverage': {'fixtures': {'events': True, 'lineups': True, 'statistics_fixtures': False, 'statistics_players': False}, 'standings': True, 'players': True, 'top_scorers': True, 'predictions': True, 'odds': False}}, {'year': 2012, 'start': '2012-10-05', 'end': '2013-04-21', 'current': False, 'coverage': {'fixtures': {'events': True, 'lineups': True, 'statistics_fixtures': False, 'statistics_players': False}, 'standings': True, 'players': True, 'top_scorers': True, 'predictions': True, 'odds': False}}, {'year': 2013, 'start': '2013-10-11', 'end': '2014-05-04', 'current': False, 'coverage': {'fixtures': {'events': True, 'lineups': True, 'statistics_fixtures': False, 'statistics_players': False}, 'standings': True, 'players': True, 'top_scorers': True, 'predictions': True, 'odds': False}}, {'year': 2014, 'start': '2014-10-10', 'end': '2015-05-17', 'current': False, 'coverage': {'fixtures': {'events': True, 'lineups': True, 'statistics_fixtures': True, 'statistics_players': True}, 'standings': True, 'players': True, 'top_scorers': True, 'predictions': True, 'odds': False}}, {'year': 2015, 'start': '2015-10-08', 'end': '2016-05-01', 'current': False, 'coverage': {'fixtures': {'events': True, 'lineups': True, 'statistics_fixtures': True, 'statistics_players': True}, 'standings': True, 'players': True, 'top_scorers': True, 'predictions': True, 'odds': False}}, {'year': 2016, 'start': '2016-10-07', 'end': '2017-05-07', 'current': False, 'coverage': {'fixtures': {'events': True, 'lineups': True, 'statistics_fixtures': True, 'statistics_players': True}, 'standings': True, 'players': True, 'top_scorers': True, 'predictions': True, 'odds': False}}, {'year': 2017, 'start': '2017-10-06', 'end': '2018-05-05', 'current': False, 'coverage': {'fixtures': {'events': True, 'lineups': True, 'statistics_fixtures': True, 'statistics_players': True}, 'standings': True, 'players': True, 'top_scorers': True, 'predictions': True, 'odds': False}}, {'year': 2018, 'start': '2018-10-19', 'end': '2019-05-05', 'current': False, 'coverage': {'fixtures': {'events': True, 'lineups': True, 'statistics_fixtures': True, 'statistics_players': True}, 'standings': True, 'players': True, 'top_scorers': True, 'predictions': True, 'odds': False}}, {'year': 2019, 'start': '2019-10-11', 'end': '2020-08-30', 'current': False, 'coverage': {'fixtures': {'events': True, 'lineups': True, 'statistics_fixtures': True, 'statistics_players': True}, 'standings': True, 'players': True, 'top_scorers': True, 'predictions': True, 'odds': False}}, {'year': 2020, 'start': '2020-12-28', 'end': '2021-05-31', 'current': True, 'coverage': {'fixtures': {'events': True, 'lineups': True, 'statistics_fixtures': True, 'statistics_players': True}, 'standings': True, 'players': True, 'top_scorers': True, 'predictions': True, 'odds': True}}]"
2,"{'id': 193, 'name': 'Northern Territory Premier League', 'type': 'League', 'logo': 'https://media.api-sports.io/football/leagues/193.png'}","{'name': 'Australia', 'code': 'AU', 'flag': 'https://media.api-sports.io/flags/au.svg'}","[{'year': 2011, 'start': '2011-03-26', 'end': '2011-09-24', 'current': False, 'coverage': {'fixtures': {'events': False, 'lineups': False, 'statistics_fixtures': False, 'statistics_players': False}, 'standings': False, 'players': False, 'top_scorers': False, 'predictions': True, 'odds': False}}, {'year': 2012, 'start': '2012-04-14', 'end': '2012-09-23', 'current': False, 'coverage': {'fixtures': {'events': False, 'lineups': False, 'statistics_fixtures': False, 'statistics_players': False}, 'standings': False, 'players': False, 'top_scorers': False, 'predictions': True, 'odds': False}}, {'year': 2013, 'start': '2013-04-12', 'end': '2013-09-21', 'current': False, 'coverage': {'fixtures': {'events': False, 'lineups': False, 'statistics_fixtures': False, 'statistics_players': False}, 'standings': False, 'players': False, 'top_scorers': False, 'predictions': True, 'odds': False}}, {'year': 2014, 'start': '2014-04-25', 'end': '2014-09-20', 'current': False, 'coverage': {'fixtures': {'events': False, 'lineups': False, 'statistics_fixtures': False, 'statistics_players': False}, 'standings': False, 'players': False, 'top_scorers': False, 'predictions': True, 'odds': False}}, {'year': 2015, 'start': '2015-04-10', 'end': '2015-09-19', 'current': False, 'coverage': {'fixtures': {'events': False, 'lineups': False, 'statistics_fixtures': False, 'statistics_players': False}, 'standings': False, 'players': False, 'top_scorers': False, 'predictions': True, 'odds': False}}, {'year': 2016, 'start': '2016-04-09', 'end': '2016-09-17', 'current': False, 'coverage': {'fixtures': {'events': False, 'lineups': False, 'statistics_fixtures': False, 'statistics_players': False}, 'standings': False, 'players': False, 'top_scorers': False, 'predictions': True, 'odds': False}}, {'year': 2017, 'start': '2017-04-21', 'end': '2017-09-30', 'current': False, 'coverage': {'fixtures': {'events': False, 'lineups': False, 'statistics_fixtures': False, 'statistics_players': False}, 'standings': False, 'players': False, 'top_scorers': False, 'predictions': True, 'odds': False}}, {'year': 2018, 'start': '2018-04-13', 'end': '2018-09-22', 'current': False, 'coverage': {'fixtures': {'events': False, 'lineups': False, 'statistics_fixtures': False, 'statistics_players': False}, 'standings': False, 'players': False, 'top_scorers': False, 'predictions': True, 'odds': False}}, {'year': 2019, 'start': '2019-03-29', 'end': '2019-09-28', 'current': False, 'coverage': {'fixtures': {'events': False, 'lineups': False, 'statistics_fixtures': False, 'statistics_players': False}, 'standings': True, 'players': False, 'top_scorers': False, 'predictions': True, 'odds': False}}, {'year': 2020, 'start': '2020-03-13', 'end': '2020-10-10', 'current': True, 'coverage': {'fixtures': {'events': False, 'lineups': False, 'statistics_fixtures': False, 'statistics_players': False}, 'standings': True, 'players': False, 'top_scorers': False, 'predictions': True, 'odds': False}}]"
3,"{'id': 481, 'name': 'Northern NSW NPL', 'type': 'League', 'logo': 'https://media.api-sports.io/football/leagues/481.png'}","{'name': 'Australia', 'code': 'AU', 'flag': 'https://media.api-sports.io/flags/au.svg'}","[{'year': 2012, 'start': '2012-04-06', 'end': '2012-09-09', 'current': False, 'coverage': {'fixtures': {'events': False, 'lineups': False, 'statistics_fixtures': False, 'statistics_players': False}, 'standings': False, 'players': False, 'top_scorers': False, 'predictions': True, 'odds': False}}, {'year': 2013, 'start': '2013-04-06', 'end': '2013-09-08', 'current': False, 'coverage': {'fixtures': {'events': False, 'lineups': False, 'statistics_fixtures': False, 'statistics_players': False}, 'standings': False, 'players': False, 'top_scorers': False, 'predictions': True, 'odds': False}}, {'year': 2014, 'start': '2014-04-05', 'end': '2014-08-10', 'current': False, 'coverage': {'fixtures': {'events': False, 'lineups': False, 'statistics_fixtures': False, 'statistics_players': False}, 'standings': False, 'players': False, 'top_scorers': False, 'predictions': True, 'odds': False}}, {'year': 2015, 'start': '2015-04-10', 'end': '2015-08-16', 'current': False, 'coverage': {'fixtures': {'events': False, 'lineups': False, 'statistics_fixtures': False, 'statistics_players': False}, 'standings': False, 'players': False, 'top_scorers': False, 'predictions': True, 'odds': False}}, {'year': 2016, 'start': '2016-04-09', 'end': '2016-08-14', 'current': False, 'coverage': {'fixtures': {'events': False, 'lineups': False, 'statistics_fixtures': False, 'statistics_players': False}, 'standings': False, 'players': False, 'top_scorers': False, 'predictions': True, 'odds': False}}, {'year': 2017, 'start': '2017-03-10', 'end': '2017-08-13', 'current': False, 'coverage': {'fixtures': {'events': False, 'lineups': False, 'statistics_fixtures': False, 'statistics_players': False}, 'standings': False, 'players': False, 'top_scorers': False, 'predictions': True, 'odds': False}}, {'year': 2018, 'start': '2018-03-17', 'end': '2018-08-19', 'current': False, 'coverage': {'fixtures': {'events': False, 'lineups': False, 'statistics_fixtures': False, 'statistics_players': False}, 'standings': False, 'players': False, 'top_scorers': False, 'predictions': True, 'odds': False}}, {'year': 2019, 'start': '2019-03-07', 'end': '2019-09-15', 'current': False, 'coverage': {'fixtures': {'events': False, 'lineups': False, 'statistics_fixtures': False, 'statistics_players': False}, 'standings': False, 'players': False, 'top_scorers': False, 'predictions': True, 'odds': False}}, {'year': 2020, 'start': '2020-07-12', 'end': '2020-11-08', 'current': False, 'coverage': {'fixtures': {'events': True, 'lineups': False, 'statistics_fixtures': False, 'statistics_players': False}, 'standings': True, 'players': False, 'top_scorers': False, 'predictions': True, 'odds': False}}, {'year': 2021, 'start': '2021-03-27', 'end': '2021-08-15', 'current': True, 'coverage': {'fixtures': {'events': False, 'lineups': False, 'statistics_fixtures': False, 'statistics_players': False}, 'standings': False, 'players': False, 'top_scorers': False, 'predictions': True, 'odds': False}}]"
4,"{'id': 190, 'name': 'W-League', 'type': 'League', 'logo': 'https://media.api-sports.io/football/leagues/190.png'}","{'name': 'Australia', 'code': 'AU', 'flag': 'https://media.api-sports.io/flags/au.svg'}","[{'year': 2016, 'start': '2286-11-20', 'end': '1970-01-01', 'current': False, 'coverage': {'fixtures': {'events': False, 'lineups': False, 'statistics_fixtures': False, 'statistics_players': False}, 'standings': True, 'players': False, 'top_scorers': False, 'predictions': True, 'odds': False}}, {'year': 2017, 'start': '2017-10-27', 'end': '2018-02-18', 'current': False, 'coverage': {'fixtures': {'events': False, 'lineups': False, 'statistics_fixtures': False, 'statistics_players': False}, 'standings': True, 'players': False, 'top_scorers': False, 'predictions': True, 'odds': False}}, {'year': 2018, 'start': '2018-10-25', 'end': '2019-02-16', 'current': False, 'coverage': {'fixtures': {'events': True, 'lineups': True, 'statistics_fixtures': False, 'statistics_players': False}, 'standings': True, 'players': False, 'top_scorers': False, 'predictions': True, 'odds': False}}, {'year': 2019, 'start': '2019-11-14', 'end': '2020-03-21', 'current': False, 'coverage': {'fixtures': {'events': True, 'lineups': True, 'statistics_fixtures': False, 'statistics_players': False}, 'standings': False, 'players': False, 'top_scorers': False, 'predictions': True, 'odds': False}}, {'year': 2020, 'start': '2020-12-27', 'end': '2021-03-20', 'current': True, 'coverage': {'fixtures': {'events': True, 'lineups': True, 'statistics_fixtures': False, 'statistics_players': False}, 'standings': False, 'players': False, 'top_scorers': False, 'predictions': True, 'odds': True}}]"
5,"{'id': 189, 'name': 'National Premier Leagues', 'type': 'League', 'logo': 'https://media.api-sports.io/football/leagues/189.png'}","{'name': 'Australia', 'code': 'AU', 'flag': 'https://media.api-sports.io/flags/au.svg'}","[{'year': 2016, 'start': '2016-04-02', 'end': '2016-09-11', 'current': False, 'coverage': {'fixtures': {'events': False, 'lineups': False, 'statistics_fixtures': False, 'statistics_players': False}, 'standings': True, 'players': False, 'top_scorers': False, 'predictions': True, 'odds': False}}, {'year': 2017, 'start': '2286-11-20', 'end': '1970-01-01', 'current': False, 'coverage': {'fixtures': {'events': False, 'lineups': False, 'statistics_fixtures': False, 'statistics_players': False}, 'standings': True, 'players': False, 'top_scorers': False, 'predictions': True, 'odds': False}}, {'year': 2018, 'start': '2286-11-20', 'end': '1970-01-01', 'current': False, 'coverage': {'fixtures': {'events': False, 'lineups': False, 'statistics_fixtures': False, 'statistics_players': False}, 'standings': True, 'players': False, 'top_scorers': False, 'predictions': True, 'odds': False}}, {'year': 2019, 'start': '2019-04-05', 'end': '2019-09-14', 'current': False, 'coverage': {'fixtures': {'events': True, 'lineups': False, 'statistics_fixtures': False, 'statistics_players': False}, 'standings': True, 'players': False, 'top_scorers': False, 'predictions': True, 'odds': False}}, {'year': 2020, 'start': '2020-07-18', 'end': '2020-09-27', 'current': False, 'coverage': {'fixtures': {'events': True, 'lineups': False, 'statistics_fixtures': False, 'statistics_players': False}, 'standings': True, 'players': False, 'top_scorers': False, 'predictions': True, 'odds': False}}, {'year': 2021, 'start': '2021-04-10', 'end': '2021-09-05', 'current': True, 'coverage': {'fixtures': {'events': False, 'lineups': False, 'statistics_fixtures': False, 'statistics_players': False}, 'standings': False, 'players': False, 'top_scorers': False, 'predictions': True, 'odds': False}}]"
6,"{'id': 192, 'name': 'New South Wales NPL', 'type': 'League', 'logo': 'https://media.api-sports.io/football/leagues/192.png'}","{'name': 'Australia', 'code': 'AU', 'flag': 'https://media.api-sports.io/flags/au.svg'}","[{'year': 2019, 'start': '2019-03-10', 'end': '2019-08-11', 'current': False, 'coverage': {'fixtures': {'events': True, 'lineups': False, 'statistics_fixtures': False, 'statistics_players': False}, 'standings': True, 'players': False, 'top_scorers': False, 'predictions': True, 'odds': False}}, {'year': 2020, 'start': '2020-02-29', 'end': '2020-10-25', 'current': False, 'coverage': {'fixtures': {'events': True, 'lineups': True, 'statistics_fixtures': False, 'statistics_players': False}, 'standings': True, 'players': False, 'top_scorers': False, 'predictions': True, 'odds': False}}, {'year': 2021, 'start': '2021-02-26', 'end': '2021-07-25', 'current': True, 'coverage': {'fixtures': {'events': False, 'lineups': False, 'statistics_fixtures': False, 'statistics_players': False}, 'standings': False, 'players': False, 'top_scorers': False, 'predictions': True, 'odds': False}}]"
7,"{'id': 194, 'name': 'South Australia NPL', 'type': 'League', 'logo': 'https://media.api-sports.io/football/leagues/194.png'}","{'name': 'Australia', 'code': 'AU', 'flag': 'https://media.api-sports.io/flags/au.svg'}","[{'year': 2019, 'start': '2019-02-22', 'end': '2019-09-14', 'current': False, 'coverage': {'fixtures': {'events': True, 'lineups': False, 'statistics_fixtures': False, 'statistics_players': False}, 'standings': True, 'players': False, 'top_scorers': False, 'predictions': True, 'odds': False}}, {'year': 2020, 'start': '2020-02-21', 'end': '2020-12-11', 'current': True, 'coverage': {'fixtures': {'events': True, 'lineups': False, 'statistics_fixtures': False, 'statistics_players': False}, 'standings': True, 'players': False, 'top_scorers': False, 'predictions': True, 'odds': False}}]"
8,"{'id': 195, 'name': 'Victoria NPL', 'type': 'League', 'logo': 'https://media.api-sports.io/football/leagues/195.png'}","{'name': 'Australia', 'code': 'AU', 'flag': 'https://media.api-sports.io/flags/au.svg'}","[{'year': 2019, 'start': '2019-02-14', 'end': '2019-08-25', 'current': False, 'coverage': {'fixtures': {'events': True, 'lineups': False, 'statistics_fixtures': False, 'statistics_players': False}, 'standings': True, 'players': False, 'top_scorers': False, 'predictions': True, 'odds': False}}, {'year': 2020, 'start': '2020-02-13', 'end': '2020-09-13', 'current': False, 'coverage': {'fixtures': {'events': True, 'lineups': False, 'statistics_fixtures': False, 'statistics_players': False}, 'standings': True, 'players': False, 'top_scorers': False, 'predictions': True, 'odds': False}}, {'year': 2021, 'start': '2021-02-26', 'end': '2021-08-29', 'current': True, 'coverage': {'fixtures': {'events': False, 'lineups': False, 'statistics_fixtures': False, 'statistics_players': False}, 'standings': False, 'players': False, 'top_scorers': False, 'predictions': True, 'odds': False}}]"
9,"{'id': 196, 'name': 'Western Australia NPL', 'type': 'League', 'logo': 'https://media.api-sports.io/football/leagues/196.png'}","{'name': 'Australia', 'code': 'AU', 'flag': 'https://media.api-sports.io/flags/au.svg'}","[{'year': 2019, 'start': '2019-03-15', 'end': '2019-09-14', 'current': False, 'coverage': {'fixtures': {'events': True, 'lineups': False, 'statistics_fixtures': False, 'statistics_players': False}, 'standings': True, 'players': False, 'top_scorers': False, 'predictions': True, 'odds': False}}, {'year': 2020, 'start': '2020-03-14', 'end': '2020-10-11', 'current': True, 'coverage': {'fixtures': {'events': True, 'lineups': False, 'statistics_fixtures': False, 'statistics_players': False}, 'standings': True, 'players': False, 'top_scorers': False, 'predictions': True, 'odds': False}}]"
10,"{'id': 482, 'name': 'Queensland NPL', 'type': 'League', 'logo': 'https://media.api-sports.io/football/leagues/482.png'}","{'name': 'Australia', 'code': 'AU', 'flag': 'https://media.api-sports.io/flags/au.svg'}","[{'year': 2019, 'start': '2019-02-02', 'end': '2019-09-15', 'current': False, 'coverage': {'fixtures': {'events': False, 'lineups': False, 'statistics_fixtures': False, 'statistics_players': False}, 'standings': False, 'players': False, 'top_scorers': False, 'predictions': True, 'odds': False}}, {'year': 2020, 'start': '2020-02-08', 'end': '2020-11-28', 'current': True, 'coverage': {'fixtures': {'events': True, 'lineups': True, 'statistics_fixtures': False, 'statistics_players': False}, 'standings': True, 'players': False, 'top_scorers': False, 'predictions': True, 'odds': False}}]"
11,"{'id': 648, 'name': 'Tasmania NPL', 'type': 'League', 'logo': 'https://media.api-sports.io/football/leagues/648.png'}","{'name': 'Australia', 'code': 'AU', 'flag': 'https://media.api-sports.io/flags/au.svg'}","[{'year': 2020, 'start': '2020-07-18', 'end': '2020-10-24', 'current': False, 'coverage': {'fixtures': {'events': True, 'lineups': False, 'statistics_fixtures': False, 'statistics_players': False}, 'standings': True, 'players': False, 'top_scorers': False, 'predictions': True, 'odds': False}}, {'year': 2021, 'start': '2021-03-20', 'end': '2021-09-04', 'current': True, 'coverage': {'fixtures': {'events': False, 'lineups': False, 'statistics_fixtures': False, 'statistics_players': False}, 'standings': False, 'players': False, 'top_scorers': False, 'predictions': True, 'odds': False}}]"
